respnum,ccgid,runid,intdate,day,gate,barea,strata,peak,method,saq,airline,destination,flight,airline_code,dest_code,destgeo,destmark,arrtime,deptime,howlong,q2purp1,q2purp2,q2purp3,q3getto1,q3getto2,q3getto3,q3park,q4bags,q4store,q4food,q4wifi,q5timesflown,q5firsttime,q6longuse,q7art,q7food,q7store,q7sign,q7walkway,q7screens,q7infodown,q7infoup,q7wifi,q7roads,q7park,q7airtrain,q7ltparking,q7rental,q7all,q8suggest1,q8suggest2,q8suggest3,q8suggest4,q8suggest5,q9boarding,q9airtrain,q9rental,q9food,q9restroom,q9all,q9com1,q9com2,q9com3,q10safe,q10com1,q10com2,q10com3,q11tsapre,q12precheckrate,q12com1,q12com2,q12com3,q13county,q13getrate,q14find,q14passthru,q15problem,q15com1,q15com2,q15com3,netpro,q17live,q18city,q18state,q18zip,q18country,home,q20age,q21gender,q22income,q23fly,q24sjc,q24oak,lang,weight,promoter,netpro_type
1794,2228,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,10:00:00,18:00:00,480,2,3.0,,6,,,,2,2,1,2,1,1,3,0,4,3,5,5,4,4,0,4,5,0,5,0,0,4,0,,,,,4,5,5,5,4,5,0,,,4,0,,,3,,,,,1,0,3,3,0,,,,8,1,OAKLAND,CA,94107.0,US,3,7,1,1,2,2,2,1,0.723115625,1,2
1795,2581,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,7:30 AM,08:59:00,89,2,,,8,,,,2,2,2,2,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,,,,,3,4,5,4,2,3,0,,,5,1,,,1,4,0,,,5,0,3,4,2,,,,7,1,SAN FRANCISCO,CA,94124.0,US,1,3,2,1,2,2,2,1,0.3778995412844037,1,2
1796,2477,396,25,5,3,A,3,3,1,1,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,3:30 PM,20:40:00,310,1,,,9,,,,1,1,1,1,1,1,3,6,3,2,5,5,5,6,6,4,5,6,5,6,5,4,101,102.0,,,,5,5,5,5,5,5,0,,,5,2,,,2,,,,,7,4,5,5,2,,,,8,3,LONDON,,,UK,15,5,1,2,2,2,2,1,0.723115625,1,2
1797,2523,404,24,4,92,G,1,3,1,2,AIR CANADA,VANCOUVER,561,3,68,4,2,4:30 AM,06:30:00,120,2,,,9,,,,1,2,2,1,1,2,1,4,6,5,5,4,4,4,4,4,4,4,4,4,4,5,0,,,,,5,5,5,5,5,5,0,,,4,0,,,3,,,,,5,4,4,4,2,,,,9,3,RICHMOND,BC,,CANADA,13,3,1,2,3,2,2,1,0.2847177142857143,1,2
1798,2478,396,25,5,3,A,3,3,1,1,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,1:30 PM,20:40:00,430,1,,,12,,,,2,1,2,1,1,2,1,4,6,3,2,5,4,4,4,5,6,6,6,6,6,3,56,151.0,,,,4,6,6,6,3,4,0,,,4,6,,,2,,,,,7,5,4,3,2,,,,8,3,KENT,,,UK,15,5,1,4,1,2,2,1,0.723115625,1,2
1799,2479,394,25,5,4,A,3,2,1,1,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,6:30:00,18:00:00,690,3,,,2,,,,1,2,2,1,2,1,4,6,6,6,4,4,4,6,6,5,5,5,6,6,6,5,60,204.0,501.0,,,4,6,6,6,4,4,0,,,5,16,,,1,5,1,,,7,3,5,5,2,,,,10,3,CROYDON,,,UK,15,7,2,0,2,2,2,1,0.723115625,1,2
1800,2524,404,24,4,92,G,1,3,1,1,AIR CANADA,VANCOUVER,561,3,68,4,2,4:00:00,06:30:00,150,2,,,3,,,,2,2,1,1,1,2,1,5,5,5,5,5,4,5,5,5,6,6,6,6,6,5,31,,,,,5,6,6,6,5,5,0,,,5,16,,,2,,,,,11,5,4,6,2,,,,10,3,SURREY,BC,,CANADA,13,2,1,3,2,2,2,1,0.2847177142857143,1,2
1801,2480,396,25,5,3,A,3,3,1,1,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,6:30 PM,20:40:00,130,3,,,2,,,,1,1,1,2,2,1,4,5,2,6,5,5,5,6,6,6,4,3,5,6,6,5,105,,,,,5,4,6,4,4,4,0,,,5,2,,,1,6,0,,,5,5,5,5,2,,,,0,1,SAN FRANCISCO,CA,94110.0,US,1,6,2,3,2,2,2,1,0.723115625,0,0
1802,2481,396,25,5,3,A,3,3,1,2,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,17:00:00,20:40:00,220,2,,,0,,,,1,2,2,1,3,1,2,5,4,4,2,4,4,3,3,5,3,4,6,6,6,4,102,,,,,4,6,6,3,4,4,0,,,4,0,,,3,,,,,1,4,3,5,1,1.0,,,8,3,,,,INDIA,16,3,1,0,2,4,1,1,0.723115625,1,2
1803,2525,404,24,4,92,G,1,3,1,1,AIR CANADA,VANCOUVER,561,3,68,4,2,4:30 AM,06:30:00,120,2,,,5,,,,1,2,2,1,2,1,2,3,3,4,4,5,5,6,4,5,4,6,5,6,6,4,501,,,,,5,6,6,6,5,5,0,,,5,1,,,2,,,,,2,3,5,5,1,44.0,,,10,1,WALNUT CREEK,CA,94597.0,US,5,3,2,1,3,2,1,1,0.2847177142857143,1,2
